CHR,P,exp
6,2.744,2.493021745330574
6,2.619,2.491043179348486
6,2.119,2.4890735864855817
6,2.494,2.4871128857200535
6,2.869,2.4851609971225317
7,0.7,2.4832178418365296
7,0.95,2.4812833420593297
7,0.575,2.4793574210232916
7,0.825,2.47744000297757
1,3.356,2.4755310131702384
1,3.481,2.4736303778308044
1,3.106,2.4717380241530993
4,0.058,2.469853880278548
15,1.494,2.4679778752797925
15,1.619,2.4661099391446735
15,1.994,2.4642500027605494
15,1.869,2.462397997898956
20,1.626,2.4605538572005856
21,1.791,2.4587175141605884
21,1.916,2.4568889031141805
21,1.041,2.455067959222555
20,2.455,2.4532546184590864
20,2.205,2.451448817595824
17,1.495,2.4496504941902613
17,1.12,2.4478595865723802
17,1.245,2.446076033831963
17,1.37,2.4442997758061598
17,1.62,2.442530753067313
17,1.745,2.4407689069110265
4,3.248,2.439014179344476
4,3.373,2.437266513074956
4,3.498,2.435525851498655
17,1.87,2.4337921386896544
11,0.387,2.432065319389148
11,0.762,2.4303453389948744
4,0.081,2.4286321435507543
11,0.637,2.4269256797367373
11,0.137,2.4252258948588428
11,0.262,2.4235327368393977
11,0.512,2.4218461542074623
11,0.887,2.4201660960894404
2,0.181,2.4184925121998746
2,0.431,2.4168253528324115
2,0.306,2.415164568850947
18,2.039,2.4135101116809343
18,2.164,2.4118619333008615
18,2.289,2.4102199862338844
18,2.539,2.4085842235396253
18,2.789,2.406954598806117
18,2.664,2.4053310661419034
18,2.414,2.4037135801682843
4,0.627,2.402102096011705
4,0.502,2.4004965692962865
4,0.127,2.3988969561364937
4,0.252,2.3973032131299363
4,0.377,2.3957152973503044
4,0.752,2.3941331663404295
4,0.877,2.3925567781054746
10,2.38,2.3909860911062437
10,2.255,2.389421064252616
10,2.88,2.387861656897095
6,2.334,2.386307828828473
2,0.102,2.3847595402656125
6,2.084,2.3832167518513314
6,2.584,2.381679424646402
6,2.459,2.380147520123655
6,2.209,2.378621000162182
6,2.709,2.3770998270416492
19,2.425,2.3755839634367
19,2.175,2.3740733724114613
19,2.8,2.3725680174141446
19,2.925,2.3710678622717363
19,2.55,2.369572871184785
10,1.575,2.368083008722274
9,2.659,2.366598239816583
9,2.034,2.365118529758535
9,2.409,2.3636438441925294
9,2.534,2.3621741491117536
9,2.159,2.36070941085348
9,2.909,2.359249596094437
9,2.284,2.357794671846263
9,2.784,2.3563446054510298
11,0.229,2.354899364576849
20,0.803,2.353458917213542
20,0.928,2.352023231668387
2,0.148,2.3505922765619385
5,0.563,2.3491660208239065
5,0.938,2.3477444336891122
5,0.688,2.346327484693506
5,0.813,2.344915143670248
15,1.541,2.3435073807458577
7,0.021,2.3421041663364197
22,1.627,2.340705471143855
22,0.302,2.3393112661522495
11,5.49,2.337921522624244
18,2.254,2.3365362120974775
18,2.129,2.335155306381092
18,2.754,2.3337787775522885
8,4.219,2.3324065979529407
18,0.331,2.33103874018626
18,0.456,2.3296751771135114
14,2.083,2.3283158818507865
14,2.208,2.32696082776582
14,2.708,2.3256099884748616
14,2.583,2.3242633378395894
14,2.958,2.3229208499640803
14,2.333,2.321582499191818
15,1.858,2.3202482601027534
2,3.111,2.3189181075104064
3,2.511,2.317592016459013
3,2.761,2.316269962220718
3,2.261,2.314951920292805
3,2.011,2.3136378663949735
3,2.136,2.312327776466656
3,2.886,2.3110216266643726
3,2.386,2.309719393359128
3,2.636,2.308421053133847
6,2.424,2.3071265827808483
6,2.174,2.305835959299354
6,2.924,2.3045491598930377
6,2.549,2.3032661619676102
6,2.049,2.3019869431284374
6,2.799,2.300711481178195
6,2.299,2.2994397541145575
6,2.674,2.298171740127922
21,1.818,2.2969074175991624
19,1.462,2.2956467650974184
19,1.962,2.2943897613779156
8,0.947,2.293136385379819
8,0.697,2.2918866162241116
8,0.572,2.2906404332115122
8,0.822,2.2893978158204167
21,1.549,2.288158743704868
21,0.465,2.286923196692561
21,0.34,2.28569115478287
7,0.011,2.2844625981449043
18,2.719,2.283237507115598
18,2.969,2.282015862197817
18,2.219,2.280797644058499
18,2.469,2.279582833526818
18,2.094,2.278371411592373
12,0.384,2.277163359403405
12,0.259,2.2759586582650346
12,0.134,2.2747572896375265
12,0.634,2.27355923513458
12,0.884,2.2723644765216364
12,0.759,2.2711729957142177
12,0.509,2.269984774776282
15,1.073,2.268799795918603
2,3.701,2.2676180414971747
2,3.451,2.266439494011632
3,2.101,2.2652641361036974
3,2.976,2.2640919505556463
3,2.726,2.2629229202887946
3,0.303,2.2617570283620045
3,0.178,2.260594257970212
3,0.428,2.2594345924429735
3,2.851,2.258278015243031
3,2.226,2.2571245099648993
3,2.601,2.255974060333467
21,1.676,2.25482665020262
18,0.044,2.2536822635538822
19,1.26,2.252540884495073
19,1.135,2.2514024972589834
19,1.385,2.2502670862020695
19,1.51,2.2491346358031614
19,1.01,2.2480051306621918
19,1.76,2.2468785554989372
19,1.635,2.245754895151781
19,1.885,2.244634134576485
8,1.313,2.2435162588449846
8,1.813,2.2424012531441933
8,1.438,2.2412891027748256
8,1.563,2.240179793150235
8,1.688,2.2390733097952658
8,1.188,2.237969638345118
8,1.063,2.2368687645442322
8,1.938,2.23577067424518
10,0.155,2.234675353407577
10,0.03,2.2335827880970043
22,0.244,2.232492964483944
22,0.744,2.23140586884273
17,3.458,2.23032148755051
10,0.053,2.229239807086222
3,1.072,2.2281608140295828
3,1.322,2.227084495060087
9,0.561,2.2260108369560236
9,0.936,2.224939826593498
9,0.686,2.2238714509454724
9,0.811,2.2228056970808123
11,2.6,2.2217425521633505
11,2.975,2.220682003450957
11,2.1,2.219624038294623
11,2.225,2.218568644137558
11,2.85,2.217515808514291
11,2.475,2.2164655190497933
11,2.35,2.2154177634586
12,0.101,2.2143725295439496
12,0.226,2.213329805196935
22,1.69,2.2122895783956573
22,1.315,2.211251837204397
10,0.076,2.210216569772792
22,1.44,2.209183764335024
3,0.145,2.2081534092090185
22,1.565,2.20712549279565
22,1.94,2.20610000357796
22,1.19,2.2050769301203808
22,1.815,2.2040562610679735
3,2.316,2.2030379851456687
3,2.066,2.20202209115752
3,2.691,2.201008567985968
3,2.816,2.1999974045911057
3,2.191,2.198988590009961
3,2.441,2.1979821133557804
3,2.566,2.196977963817327
3,2.941,2.1959761306581815
8,0.018,2.194976603216055
14,4.081,2.1939793709021065
14,1.463,2.1929844232002704
14,1.088,2.1919917496665926
14,1.213,2.191001339928571
14,1.338,2.190013183684505
14,1.963,2.1890272707028537
14,1.713,2.1880435908216005
14,1.588,2.187062133947623
14,1.838,2.1860828900560727
16,1.937,2.185105849189761
16,1.062,2.1841310014585504
16,1.187,2.1831583370387557
17,1.825,2.1821878461725484
10,4.468,2.181219519167369
19,0.328,2.180253346395349
19,0.203,2.179289318292732
19,0.453,2.1783274253593103
22,1.759,2.1773676581578605
10,0.122,2.1764100073135886
10,0.247,2.1754544635135797
10,0.997,2.1745010175062576
10,0.372,2.173549660100842
10,0.497,2.172600382166823
10,0.622,2.171653174633431
10,0.872,2.1707080284891185
10,0.747,2.1697649347810444
22,1.778,2.1688238846145667
1,2.714,2.167884869152739
1,2.214,2.1669478796158117
1,2.339,2.1660129072807384
1,2.839,2.165079943480692
1,0.291,2.16414897960458
1,0.416,2.163220007096568
1,2.089,2.162293017455609
1,2.964,2.161368002234975
1,2.464,2.160444953041796
1,2.589,2.159523861536605
9,2.984,2.158604719432881
9,2.484,2.157687518496607
19,0.409,2.1567722505458256
21,3.094,2.1558589074501993
12,3.55,2.1549474811305784
17,3.548,2.1540379635585736
14,0.559,2.153130346756129
14,0.809,2.152224622795105
14,0.684,2.1513207837968604
13,0.085,2.1504188219318427
14,0.934,2.14951872941918
10,0.043,2.14862049852628
19,0.17,2.147724121568429
8,1.867,2.146829590908399
8,1.742,2.145936898956058
8,1.992,2.145046038167982
16,1.402,2.144157001047072
16,1.152,2.1432697801421785
16,1.777,2.1423843680477237
16,1.027,2.1415007574033322
13,0.506,2.140618940893462
13,0.381,2.1397389112470453
13,0.756,2.1388606612371235
13,0.131,2.1379841836804947
13,0.881,2.1371094714373604
12,2.52,2.1362365174109748
13,0.256,2.1353653145473026
13,0.631,2.1344958558346736
17,1.579,2.1336281343034464
1,2.929,2.132762143025673
1,2.304,2.131897875114765
1,2.804,2.131035323725167
1,2.054,2.130174482052031
1,2.179,2.129315343330893
1,2.554,2.1284579008373563
1,2.679,2.127602147886773
1,2.429,2.1267480778339336
14,1.925,2.125895684072756
14,1.55,2.1250449600359795
14,1.05,2.1241958991948615
9,4.837,2.123348495058876
14,1.3,2.1225027411754165
14,1.425,2.121658631129501
14,1.675,2.120816158543481
14,1.175,2.11997531707675
14,1.8,2.119136100425459
20,0.233,2.1182985023222347
18,1.362,2.1174625165358933
18,1.237,2.1166281368711677
18,1.112,2.1157953571684303
18,1.612,2.114964171303418
18,1.737,2.114134573186966
18,1.487,2.1133065567647353
18,1.862,2.112480116016953
18,1.987,2.1116552449581456
19,3.207,2.1108319376368803
15,3.036,2.1100101881355067
13,0.223,2.109189990569903
13,0.098,2.1083713390892234
18,1.681,2.107554227875644
18,1.306,2.10673865114412
18,1.431,2.105924603142136
18,1.806,2.105112078149464
6,1.032,2.104301070477922
6,1.657,2.103491574471137
6,1.407,2.102683584504303
6,1.782,2.1018770949839536
6,1.907,2.1010721003477237
6,1.532,2.1002685950641227
6,1.157,2.0994665736323053
6,1.282,2.098666030581845
18,1.892,2.0978669604725124
18,1.267,2.09706935789405
18,1.642,2.096273217465955
8,0.365,2.0954785338372615
8,0.24,2.094685301686323
8,0.49,2.0938935157206005
8,0.615,2.0931031706764487
8,0.74,2.0923142613189074
8,0.99,2.0915267824414934
8,0.865,2.090740728865994
20,0.2,2.0899560954422625
13,1.201,2.089172877048016
13,1.326,2.088391068588635
13,1.701,2.0876106649969635
11,0.576,2.0868316612331137
11,0.701,2.086054052284269
11,0.951,2.085277833164492
11,0.826,2.0845029989145307
13,1.826,2.0837295446016313
9,4.552,2.082957465319346
9,4.177,2.08218675618735
14,1.39,2.0814174123512537
10,1.344,2.080649428982421
10,1.469,2.079882801277786
10,1.094,2.0791175244596736
10,1.219,2.078353593775621
10,1.719,2.077591004498201
10,1.594,2.076829751924844
10,1.844,2.076069831377668
10,1.969,2.0753112382033025
12,3.088,2.0745539677727187
18,1.452,2.073798015481062
18,1.327,2.0730433767474805
18,1.202,2.072290047014961
18,1.077,2.0715380217501633
18,1.577,2.0707872964432563
18,1.827,2.070037866607755
9,1.373,2.0692897277803617
9,1.248,2.0685428755208037
9,1.123,2.0677973054116783
9,1.623,2.0670530130582927
9,1.498,2.066309994088512
9,1.998,2.0655682441526015
9,1.748,2.064827758923078
2,2.059,2.064088534094554
2,2.434,2.063350565383591
2,2.309,2.062613848528548
2,2.809,2.061878379289437
2,2.184,2.0611441534477724
2,2.559,2.0604111668064298
2,2.684,2.059679415189499
2,2.934,2.058948894442143
3,1.209,2.058219600430456
3,1.334,2.0574915290413234
3,1.459,2.0567646761822815
12,1.835,2.056039037781381
12,1.335,2.055314609787049
12,1.085,2.0545913881679527
12,1.96,2.053869368912868
12,1.71,2.053148548030541
12,1.46,2.0524289215495606
12,1.585,2.0517104855182233
13,1.982,2.0509932360044063
18,3.296,2.050277169095435
15,2.026,2.0495622808979572
15,2.151,2.048848567537817
15,2.401,2.048136025159925
15,2.651,2.0474246499281383
15,2.276,2.046714438025131
13,0.702,2.0460053856522773
15,2.526,2.0452974890295246
20,0.167,2.0445907443952756
8,0.863,2.0438851480062667
19,1.85,2.043180696137451
10,3.029,2.0424773850818765
10,3.404,2.0417752111505743
10,3.154,2.0410741706724385
18,1.426,2.0403742599941124
18,1.926,2.0396754754798736
12,3.178,2.0389778135115226
9,0.066,2.0382812704882682
9,0.316,2.037585842826617
9,0.191,2.0368915269602628
9,0.441,2.036198319339976
8,3.257,2.0355062164334963
8,3.132,2.0348152147254233
22,0.882,2.0341253107171107
3,1.674,2.033436500926558
3,1.049,2.032748781888307
3,1.174,2.032062150153337
3,1.799,2.0313766022889594
3,1.924,2.030692134878717
3,1.299,2.0300087445222785
3,1.549,2.029326427835342
3,1.424,2.02864518144953
22,2.048,2.027965002012292
22,2.173,2.0272858861868053
22,2.423,2.026607830651875
16,0.168,2.025930832101839
9,0.112,2.0252548872464704
19,0.708,2.0245799928108803
19,0.583,2.0239061455354244
19,0.833,2.023233342175608
19,0.958,2.0225615795019922
22,1.949,2.021890854300099
4,0.547,2.021221163370323
4,0.672,2.0205525035278367
4,0.797,2.0198848716025006
4,0.922,2.019218264438772
7,0.087,2.0185526788956185
7,0.212,2.017888111846425
7,1.111,2.017224560178909
7,1.861,2.016562020795032
7,1.236,2.0159004906109117
7,1.611,2.0152399665567367
7,1.361,2.0145804455766827
7,1.486,2.0139219246288236
12,0.958,2.013264400685052
17,1.294,2.0126078707309922
17,1.669,2.011952331765919
17,1.044,2.011297780802675
17,1.794,2.010644214867588
17,1.169,2.0099916310003914
17,1.544,2.009340026254143
17,1.919,2.0086893976951465
17,1.63,2.008039742402869
17,1.755,2.007391057469866
21,2.202,2.0067433400017003
21,2.452,2.006096587116867
20,1.275,2.0054507959467154
20,1.775,2.0048059636353726
21,2.077,2.0041620873396675
17,2.281,2.0035191642290564
17,2.031,2.002877191485548
17,2.656,2.002236166303629
17,2.406,2.0015960858901907
17,2.156,2.000956947464456
17,2.906,2.0003187482579072
9,0.158,1.9996814855142133
9,0.033,1.9990451564891598
11,1.173,1.9984097584505762
11,1.048,1.9977752886782667
11,1.423,1.9971417444639405
11,1.673,1.9965091231111418
11,1.298,1.9958774219351811
5,1.48,1.9952466382630665
11,1.798,1.9946167694334371
11,1.548,1.9939878127964938
11,1.923,1.9933597657139346
12,0.573,1.9927326255588855
12,0.823,1.9921063897158375
12,3.143,1.9914810555805784
12,3.268,1.9908566205601304
5,0.608,1.990233082072683
5,0.483,1.9896104375475312
5,0.358,1.9889886844250109
5,0.858,1.9883678201564357
5,0.983,1.9877478422040338
5,0.733,1.987128748040887
9,0.056,1.9865105351508683
18,3.575,1.9858932010285801
18,3.325,1.9852767431792937
18,3.075,1.9846611591188885
12,0.029,1.984046446373793
16,0.76,1.9834326024809235
16,0.135,1.9828196249876258
16,0.26,1.982207511451617
16,0.635,1.981596259440926
16,0.885,1.980985866533836
16,0.51,1.9803763303188269
16,0.385,1.979767648394518
4,1.038,1.9791598183696117
4,1.288,1.9785528378628368
4,1.413,1.9779467045028922
4,1.538,1.977341415928392
4,1.788,1.9767369697878097
4,1.663,1.9761333637394238
4,1.163,1.9755305954512634
4,1.913,1.9749286626010532
7,0.304,1.9743275628761614
7,0.179,1.9737272939735455
6,3.37,1.9731278535996988
6,3.745,1.9725292394705987
6,3.245,1.9719314493116544
7,0.429,1.9713344808576552
1,1.162,1.9707383318527179
1,1.037,1.9701430000502365
1,1.537,1.9695484832128318
1,1.412,1.9689547791123005
1,1.662,1.9683618855295644
1,1.287,1.9677698002546218
1,1.912,1.9671785210864974
1,1.787,1.9665880458331935
14,0.008,1.965998372311641
21,2.292,1.9654094983476509
20,1.529,1.9648214217758666
9,3.07,1.9642341404397161
14,1.829,1.9636476521913642
14,0.031,1.9630619548916652
14,0.156,1.962477046410117
2,0.785,1.9618929246248138
2,0.66,1.9613095874223996
2,0.535,1.9607270326980235
2,0.91,1.9601452583552936
5,1.224,1.959564262306231
5,1.474,1.958984042471226
5,1.349,1.9584045967789923
5,1.099,1.957825923166524
5,1.974,1.95724801957905
5,1.724,1.9566708839699918
5,1.599,1.9560945143009183
5,1.849,1.9555189085415041
14,0.054,1.9549440646694858
18,3.29,1.9543699806706196
16,0.227,1.9537966545386387
14,3.369,1.953224084275212
14,3.744,1.952652267889901
15,2.394,1.9520812034001196
15,2.019,1.951510888831092
15,2.644,1.9509413222158118
15,2.144,1.9503725015950024
14,0.077,1.9498044250170747
2,4.022,1.9492370905380885
3,3.172,1.9486704962217114
3,3.047,1.9481046401391804
10,1.689,1.9475395203692614
4,1.128,1.9469751349982105
4,1.003,1.9464114821197354
4,1.253,1.9458485598349562
4,1.378,1.9452863662523674
4,1.628,1.9447248994877997
4,1.753,1.944164157664382
4,1.878,1.9436041389125038
4,1.503,1.943044841369778
10,3.256,1.9424862631810034
10,3.381,1.9419284024981278
6,3.71,1.941371257480212
6,3.21,1.940814826293392
10,3.006,1.9402591071108444
10,3.881,1.939704098112749
12,0.019,1.939149797486254
20,1.106,1.9385962034254398
20,1.231,1.9380433141312845
20,1.481,1.9374911278116278
20,1.356,1.936939642681137
20,1.731,1.9363888569612722
20,1.606,1.935838768880251
20,1.981,1.9352893766730157
17,0.165,1.934740678581199
20,1.856,1.9341926728530885
14,0.623,1.9336453577435961
14,0.373,1.933098731514222
14,0.748,1.9325527924330232
14,0.498,1.93200753877458
14,0.248,1.931462968819963
14,0.123,1.930919080856701
14,0.873,1.9303758731787488
14,0.998,1.9298333440864548
20,0.58,1.929291491886529
20,0.705,1.9287503148920113
8,0.209,1.928209811422241
5,0.292,1.9276699798028238
5,0.417,1.9271308183656017
11,1.89,1.926592325448622
16,2.476,1.9260544993961062
16,2.351,1.92551733855842
18,0.935,1.9249808412920426
18,0.685,1.9244450059595364
18,0.56,1.923909830929517
18,0.81,1.9233753145766241
18,3.38,1.9228414552814912
19,2.03,1.9223082514307157
19,2.155,1.9217757014168313
19,2.405,1.9212438036382768
19,2.28,1.9207125564993694
13,0.57,1.920181958410274
13,0.695,1.9196520077869756
13,0.945,1.9191227030512517
13,0.82,1.918594042630642
15,2.734,1.9180660249584225
15,0.186,1.9175386484735766
15,0.311,1.9170119116207673
2,4.112,1.9164858128503102
3,3.012,1.9159603506181457
3,3.762,1.9154355233858122
3,3.262,1.9149113296204188
15,0.061,1.9143877677946184
15,0.436,1.9138648363865813
20,0.645,1.9133425338799683
20,0.895,1.9128208587639048
20,0.395,1.9122998095329538
20,0.27,1.9117793846870903
6,0.48,1.9112595827316758
6,0.355,1.9107404021774324
6,0.73,1.910221841540416
6,0.855,1.9097038993419921
6,0.605,1.9091865741088108
6,0.98,1.9086698643727802
13,0.026,1.9081537686710428
17,0.132,1.90763828554595
17,0.757,1.9071234135450372
17,0.257,1.906609151221
17,0.632,1.9060954971316688
17,0.882,1.9055824498399854
17,0.382,1.9050700079139786
17,0.507,1.9045581699267398
20,1.071,1.9040469344563997
20,1.196,1.9035363000861045
20,1.321,1.9030262654039922
20,1.571,1.9025168290031693
15,0.107,1.9020079894816873
8,0.176,1.9014997454425198
8,0.301,1.900992095493539
8,0.426,1.9004850382474943
10,0.542,1.8999785723219869
10,0.667,1.8994726963394502
10,0.792,1.8989674089271247
10,0.917,1.8984627087170376
1,0.336,1.8979585943459796
1,0.461,1.8974550644554828
11,3.011,1.8969521176917992
12,2.411,1.8964497527058781
12,2.661,1.8959479681533458
12,2.911,1.895446762694482
12,2.036,1.8949461349942005
12,2.286,1.8944460837220258
12,2.536,1.893946607552074
8,2.365,1.8934477051630292
8,2.115,1.8929493752381252
8,2.615,1.8924516164651226
8,2.49,1.8919544275362894
8,2.24,1.8914578071483792
15,0.153,1.8909617540026116
22,0.084,1.890466266804652
3,0.532,1.8899713442645898
3,0.907,1.8894769850969204
3,0.782,1.8889831880205237
3,0.657,1.8884899517586444
3,3.227,1.8879972750388727
10,0.005,1.8875051565931238
15,0.051,1.8870135951576192
22,0.505,1.886522589472867
22,0.13,1.8860321382836416
15,0.074,1.885542240338966
22,0.88,1.8850528943920912
22,0.255,1.8845640992004786
22,0.38,1.8840758535257796
21,1.079,1.8835881561338175
21,1.579,1.8831010057945692
22,0.63,1.882614401282146
22,0.755,1.8821283413747747
1,3.625,1.8816428248547803
1,3.5,1.881157850508567
1,3.375,1.8806734171266002
22,1.927,1.880189523503388
22,1.427,1.8797061684374636
21,1.31,1.8792233507313674
21,1.435,1.8787410691916293
21,1.56,1.8782593226287507
21,1.935,1.8777781098571866
21,1.06,1.877297429695329
21,1.81,1.876817280965489
21,1.685,1.8763376624938792
21,1.185,1.875858573110597
21,4.255,1.8753800116496073
22,0.647,1.874901976948725
15,0.12,1.8744244678495987
12,2.001,1.873947483197694
12,2.126,1.873471021842276
12,2.376,1.8729950826363935
12,2.251,1.872519664436861
12,2.751,1.872044766104244
12,2.626,1.871570386502842
12,2.501,1.8710965245006712
15,0.62,1.8706231789694499
15,0.87,1.8701503487845812
21,1.909,1.869678032825137
16,1.367,1.8692062299738434
19,0.807,1.8687349391170631
19,0.557,1.8682641591447804
19,0.932,1.8677938889505856
19,0.682,1.8673241274316597
22,1.871,1.866854873488758
22,0.222,1.8663861260261954
22,0.097,1.8659178839518302
22,1.121,1.8654501461770505
13,1.042,1.8649829116167573
13,1.167,1.8645161791893496
13,1.417,1.864049947816711
13,1.917,1.8635842164241925
13,1.292,1.863118983940599
13,1.542,1.8626542492981746
4,0.144,1.8621900114325871
6,2.353,1.8617262692829142
6,2.478,1.861263021791628
6,2.228,1.8608002679045814
6,2.103,1.8603380065709938
6,2.728,1.8598762367434354
6,2.853,1.859414957377815
6,2.603,1.858954167433364
17,1.728,1.8584938658726233
1,3.965,1.8580340516614293
1,3.09,1.8575747237688995
1,3.59,1.8571158811674189
1,3.465,1.856657522832626
1,3.215,1.8561996477433997
17,0.948,1.8557422548818445
21,1.808,1.8552853432332785
19,1.202,1.854828911786218
19,1.077,1.854372959532366
19,1.327,1.8539174854665972
19,1.452,1.853462488586946
19,1.702,1.8530079678945923
