pca1,pca2
-0.183292,-0.26110700000000003
-0.110578,-0.2106
-0.18850999999999998,-0.0423172
0.026225599999999998,0.0944064
0.264787,-0.42345200000000005
-0.0746552,-0.32824899999999996
-0.0528,0.22557199999999997
-0.289785,-0.131749
0.169851,0.15395699999999998
0.330146,-0.259802
-0.45132799999999995,-0.08214400000000001
0.21906599999999998,0.365906
0.462459,0.106575
-0.100089,0.055829
0.05821950000000001,0.20509499999999997
0.274001,-0.09738580000000001
-0.156331,0.42760200000000004
-0.197939,0.201907
